"","Activity Type","Date","Favorite","Title","Distance","Calories","Time","Avg HR","Max HR","Aerobic TE","Avg Run Cadence","Max Run Cadence",Avg_Pace,"Best Pace","Elev Gain","Elev Loss","Avg Stride Length","Avg Vertical Ratio","Avg Vertical Oscillation","Avg Ground Contact Time","Avg GCT Balance","Training Stress Score®","Grit","Flow","Climb Time","Bottom Time","Min Temp","Surface Interval","Decompression","Best Lap Time","Number of Laps","Max Temp","date","avgpace"
"35","Running","10/23/20 17:46",FALSE,"Linn County - W06D4a-Easy Run",4.04,445,00:48:46,148,175,3.2,151,184,12:04:00,08:59:00,"10","10",0.88,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",03:20:00,5,0,2020-10-23 17:46:00,43440
"36","Running","10/22/20 13:27",FALSE,"Linn County - W06D3-Intervals",3.52,313,00:38:02,141,172,3,161,179,10:48:00,09:11:00,"13","14",0.92,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:02:00,10,0,2020-10-22 13:27:00,38880
"37","Running","10/21/20 11:23",FALSE,"Linn County - W06D2-Easy Run",3.21,370,00:40:07,158,175,3.3,150,173,12:29:00,10:05:00,"6","9",0.86,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",04:28:00,4,0,2020-10-21 11:23:00,44940
"38","Running","10/20/20 11:00",FALSE,"Lincoln County - W05D7-Long Run",8.01,887,01:34:27,159,183,4.2,152,175,11:48:00,08:49:00,"192","195",0.9,0,0,"--","--",0,"0",0,01:34:27,00:00:00,0,00:00:00,"No",04:27:00,9,0,2020-10-20 11:00:00,42480
"39","Running","10/19/20 13:20",FALSE,"Lincoln County - W05D6-Hills",4.01,420,00:45:02,159,182,3.7,158,177,11:14:00,07:54:00,"250","262",0.9,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",02:00:00,8,0,2020-10-19 13:20:00,40440
"40","Running","10/16/20 11:25",FALSE,"Linn County - W05D4a-Easy Run",2.71,314,00:31:12,166,183,3.5,155,172,11:31:00,09:02:00,"1","3",0.9,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:11:00,4,0,2020-10-16 11:25:00,41460
"41","Running","10/15/20 15:33",FALSE,"Linn County - W05D3-Intervals",4.01,394,00:44:05,152,189,3.7,162,174,11:00:00,09:24:00,"19","19",0.9,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:00:00,14,0,2020-10-15 15:33:00,39600
"42","Running","10/14/20 10:41",FALSE,"Linn County - W05D2-Easy Run",2.91,325,00:34:38,158,174,3.2,153,167,11:55:00,09:08:00,"3","3",0.88,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",04:37:00,4,0,2020-10-14 10:41:00,42900
"43","Running","10/13/20 15:26",FALSE,"Linn County - W04D7-Long Run",4.01,454,00:45:24,163,186,4,158,170,11:20:00,09:35:00,"9","9",0.9,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:23:00,5,0,2020-10-13 15:26:00,40800
"44","Running","10/12/20 17:22",FALSE,"Linn County - W04D6-Fartlek",3.61,393,00:40:26,158,179,3.6,162,174,11:12:00,09:22:00,"17","17",0.89,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:26:00,5,0,2020-10-12 17:22:00,40320
"45","Running","10/9/20 11:19",FALSE,"Linn County - W04D4-Easy Run",3.01,333,00:36:23,153,173,3.2,153,177,12:06:00,09:53:00,"3","3",0.87,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",05:19:00,4,0,2020-10-09 11:19:00,43560
"46","Running","10/8/20 13:56",FALSE,"Linn County - W04D3-Intervals",3.51,384,00:39:10,163,193,3.9,158,175,11:10:00,09:18:00,"13","13",0.91,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:15:00,10,0,2020-10-08 13:56:00,40200
"47","Running","10/7/20 13:59",FALSE,"Linn County - W04D2-Easy Run",3.42,401,00:42:21,162,192,3.4,150,168,12:24:00,10:53:00,"13","12",0.87,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",02:20:00,5,0,2020-10-07 13:59:00,44640
"48","Running","10/6/20 10:43",FALSE,"Linn County - W03D7-Long Run",7.01,790,01:25:42,158,175,3.5,153,173,12:14:00,07:21:00,"24","28",0.86,0,0,"--","--",0,"0",0,01:25:42,00:00:00,0,00:00:00,"No",05:42:00,8,0,2020-10-06 10:43:00,44040
"49","Running","10/5/20 11:32",FALSE,"Lincoln County - W03D6-Hills",3.08,346,00:34:02,164,186,3.6,158,175,11:03:00,09:13:00,"95","132",0.92,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:02:00,8,0,2020-10-05 11:32:00,39780
"50","Running","10/2/20 10:22",FALSE,"Linn County - W03D4a-Easy Run",4.04,443,00:49:03,146,172,3.2,150,173,12:09:00,09:55:00,"12","12",0.88,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",04:03:00,5,0,2020-10-02 10:22:00,43740
"51","Running","10/1/20 9:01",FALSE,"Linn County - W03D3-Intervals",3.51,378,00:39:09,161,185,3.5,159,179,11:10:00,08:59:00,"11","11",0.9,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:30:00,10,0,2020-10-01 09:01:00,40200
"52","Running","9/30/20 9:29",FALSE,"Linn County - W03D2a-Easy Run",3.01,322,00:37:01,144,170,3.1,152,173,12:19:00,10:51:00,"15","15",0.86,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",05:20:00,4,0,2020-09-30 09:29:00,44340
"53","Running","9/29/20 9:43",FALSE,"Linn County - W02D7-Long Run",7.01,804,01:25:34,163,179,4.1,151,165,12:12:00,10:27:00,"26","26",0.87,0,0,"--","--",0,"0",0,01:25:34,00:00:00,0,00:00:00,"No",03:16:00,8,0,2020-09-29 09:43:00,43920
"54","Running","9/28/20 8:57",FALSE,"Lincoln County - W02D6-Hills",3.91,423,00:44:43,160,182,3.8,156,177,11:26:00,09:22:00,"214","209",0.9,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:01:00,11,0,2020-09-28 08:57:00,41160
"55","Running","9/25/20 9:38",FALSE,"Linn County - W02D4a-Easy Run",5.01,554,01:01:26,155,182,3.8,152,169,12:16:00,10:34:00,"30","30",0.86,0,0,"--","--",0,"0",0,01:01:26,00:00:00,0,00:00:00,"No",03:08:00,6,0,2020-09-25 09:38:00,44160
"56","Running","9/24/20 13:19",FALSE,"Linn County - W02D3-Intervals",4.05,420,00:44:48,161,180,3.9,158,176,11:04:00,09:16:00,"18","18",0.92,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:53:00,13,0,2020-09-24 13:19:00,39840
"57","Running","9/23/20 10:50",FALSE,"Linn County - W02D2-Easy Run",5.01,574,01:00:49,164,180,4,150,170,12:08:00,09:59:00,"18","18",0.89,0,0,"--","--",0,"0",0,01:00:49,00:00:00,0,00:00:00,"No",03:30:00,6,0,2020-09-23 10:50:00,43680
"58","Running","9/22/20 7:21",FALSE,"Linn County Running",2.52,283,00:32:43,147,170,3.1,148,173,12:58:00,10:25:00,"3","3",0.84,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:01:00,4,0,2020-09-22 07:21:00,46680
"59","Running","9/21/20 17:49",FALSE,"Linn County - W01D7-Long Run",6.01,678,01:10:17,163,184,4.8,153,165,11:42:00,10:03:00,"27","27",0.9,0,0,"--","--",0,"0",0,01:10:17,00:00:00,0,00:00:00,"No",01:31:00,7,0,2020-09-21 17:49:00,42120
"60","Running","9/20/20 18:11",FALSE,"Lincoln County - W01D6-Fartlek",2.54,277,00:28:17,163,185,3.6,156,169,11:08:00,08:41:00,"108","168",0.93,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",02:51:00,4,0,2020-09-20 18:11:00,40080
"61","Running","9/18/20 17:57",FALSE,"Linn County - W01D3-Steady Run",4.04,465,00:45:25,168,183,4.5,153,165,11:15:00,10:20:00,"19","19",0.94,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:03:00,7,0,2020-09-18 17:57:00,40500
"62","Treadmill Running","9/17/20 12:55",FALSE,"W01D2-Easy Run",3,376,00:36:03,170,186,4.1,150,171,12:01:00,08:47:00,"--","--",0.9,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:03:00,4,0,2020-09-17 12:55:00,43260
"63","Running","9/4/20 8:44",FALSE,"Linn County - W07D2a-Recovery Run",3,354,00:36:10,161,188,3.4,154,172,12:03:00,10:29:00,"3","7",0.87,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",05:30:00,4,0,2020-09-04 08:44:00,43380
"64","Running","9/2/20 7:34",FALSE,"Linn County - W06D6-Intervals",4,474,00:46:04,168,187,4,156,169,11:32:00,10:07:00,"12","12",0.89,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:30:00,8,0,2020-09-02 07:34:00,41520
"65","Running","8/28/20 10:15",FALSE,"Linn County - W06D4-Intervals",3.25,365,00:37:37,158,181,3.4,158,176,11:34:00,08:59:00,"5","5",0.88,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:07:00,13,0,2020-08-28 10:15:00,41640
"66","Running","8/27/20 20:44",FALSE,"Linn County - W06D3a-Recovery Run",2.62,271,00:30:02,144,162,3,160,174,11:27:00,09:55:00,"3","3",0.88,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:01:00,4,0,2020-08-27 20:44:00,41220
"67","Running","8/26/20 9:12",FALSE,"Linn County - W06D2-Intervals",4.5,517,00:50:54,165,188,4.3,159,173,11:18:00,09:24:00,"23","23",0.89,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",02:00:00,8,0,2020-08-26 09:12:00,40680
"68","Running","8/24/20 9:42",FALSE,"Lincoln County - W05D7-Long Run",8,842,01:32:26,162,184,3.7,156,231,11:33:00,08:13:00,"132","171",0.89,0,0,"--","--",0,"0",0,01:32:26,00:00:00,0,00:00:00,"No",02:25:00,9,0,2020-08-24 09:42:00,41580
"69","Running","8/21/20 11:31",FALSE,"Lincoln County - W05D6-Intervals",4.33,434,00:46:02,158,185,3.8,164,177,10:38:00,09:02:00,"67","93",0.92,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:01:00,14,0,2020-08-21 11:31:00,38280
"70","Running","8/20/20 9:02",FALSE,"Linn County - W05D3a-Recovery Run",2.7,295,00:32:30,149,180,3.2,154,174,12:03:00,10:14:00,"5","5",0.86,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",02:29:00,4,0,2020-08-20 09:02:00,43380
"71","Running","8/19/20 8:15",FALSE,"Linn County - W05D3a-Recovery Run",5.5,621,01:07:01,157,178,4,153,163,12:12:00,10:36:00,"23","26",0.86,0,0,"--","--",0,"0",0,01:07:01,00:00:00,0,00:00:00,"No",00:37:00,7,0,2020-08-19 08:15:00,43920
"72","Running","8/18/20 7:40",FALSE,"Linn County - W04D7-Long Run",6.21,681,01:20:37,149,171,3.4,149,164,12:59:00,11:01:00,"22","29",0.83,0,0,"--","--",0,"0",0,01:20:37,00:00:00,0,00:00:00,"No",00:03:00,8,0,2020-08-18 07:40:00,46740
"73","Running","8/17/20 17:10",FALSE,"Lincoln County - W05D2-Intervals",4.3,470,00:47:37,169,192,4.5,158,234,11:05:00,09:09:00,"38","69",0.92,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:07:00,12,0,2020-08-17 17:10:00,39900
"74","Running","8/13/20 8:50",FALSE,"Linn County - W04D6-Intervals",4.16,432,00:46:03,162,183,3.9,162,196,11:04:00,08:23:00,"15","15",0.9,9.7,8.8,"285","49.8% L / 50.2% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:03:00,8,0,2020-08-13 08:50:00,39840
"75","Running","8/11/20 9:40",FALSE,"Linn County - W04D2-Intervals",4.04,450,00:45:02,170,189,4.7,160,182,11:09:00,07:26:00,"22","27",0.91,9.1,8.3,"305","49.7% L / 50.3% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:02:00,9,0,2020-08-11 09:40:00,40140
"76","Running","8/10/20 10:48",FALSE,"Lincoln County - W04D3a-Recovery Run",2.52,275,00:30:04,159,176,3.3,153,171,11:57:00,06:51:00,"24","34",0.88,10.8,9.6,"321","49.8% L / 50.2% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:04:00,4,0,2020-08-10 10:48:00,43020
"77","Running","8/9/20 19:26",FALSE,"Lincoln County - W04D4-Fartlek Run",6.21,685,01:10:43,170,184,4.8,157,240,11:23:00,08:56:00,"108","140",0.91,9.9,9.1,"309","49.2% L / 50.8% R",0,"0",0,01:10:43,00:00:00,0,00:00:00,"No",03:21:00,7,0,2020-08-09 19:26:00,40980
"78","Running","7/31/20 10:12",FALSE,"Lincoln County - W03D7-Long Run",9.19,969,01:45:04,162,179,4.8,158,183,11:26:00,09:13:00,"224","222",0.88,10.3,9.2,"300","49.0% L / 51.0% R",0,"0",0,01:45:04,00:00:00,0,00:00:00,"No",00:04:00,11,0,2020-07-31 10:12:00,41160
"79","Running","7/29/20 7:14",FALSE,"Linn County - W03D6-Intervals",4,416,00:42:26,170,188,4.5,163,179,10:37:00,09:11:00,"705","673",0.93,9.1,8.6,"282","49.0% L / 51.0% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:12:00,8,0,2020-07-29 07:14:00,38220
"80","Running","7/28/20 9:04",FALSE,"Linn County - W03D4-Recovery Run",4,450,00:46:40,169,179,3.9,154,233,11:40:00,09:43:00,"722","728",0.9,9.4,8.6,"321","50.5% L / 49.5% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:40:00,5,0,2020-07-28 09:04:00,42000
"81","Running","7/27/20 8:35",FALSE,"Lincoln County - W03D2-Intervals",4.04,442,00:42:35,176,192,5,162,181,10:32:00,09:04:00,"1,017","958",0.94,9.3,8.8,"286","49.3% L / 50.7% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:04:00,12,0,2020-07-27 08:35:00,37920
"82","Running","7/24/20 9:25",FALSE,"Lincoln County - W02D7-Long Run",8,894,01:31:54,170,185,5,155,175,11:29:00,09:43:00,"1,680","1,627",0.9,10,9.1,"308","50.5% L / 49.5% R",0,"0",0,01:31:54,00:00:00,0,00:00:00,"No",01:53:00,9,0,2020-07-24 09:25:00,41340
"83","Running","7/23/20 7:52",FALSE,"Linn County - W02D6-Intervals",4.51,499,00:48:18,174,192,4.6,162,184,10:43:00,09:06:00,"1,027","879",0.93,8.9,8.5,"290","49.8% L / 50.2% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",02:00:00,10,0,2020-07-23 07:52:00,38580
"84","Running","7/22/20 8:11",FALSE,"Linn County - W02D4b-Recovery Run",4,462,00:46:30,166,180,4.1,156,167,11:38:00,10:43:00,"26","26",0.88,9.7,8.7,"311","48.5% L / 51.5% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",04:59:00,5,0,2020-07-22 08:11:00,41880
"85","Running","7/21/20 7:10",FALSE,"Linn County - W02D3-Intervals",4,469,00:45:27,172,186,4.1,157,186,11:22:00,09:11:00,"13","13",0.91,10,9.2,"296","49.2% L / 50.8% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:30:00,10,0,2020-07-21 07:10:00,40920
"86","Running","7/20/20 9:18",FALSE,"Lincoln County - W02D2-Recovery Run",4.01,468,00:44:56,165,182,4,157,173,11:13:00,09:33:00,"63","94",0.91,10,9.2,"311","50.1% L / 49.9% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",02:09:00,5,0,2020-07-20 09:18:00,40380
"87","Running","7/17/20 7:41",FALSE,"Linn County - W01D7-Long Run",7,784,01:22:15,154,178,3.8,155,172,11:45:00,09:25:00,"26","26",0.89,10.1,9.2,"311","49.0% L / 51.0% R",0,"0",0,01:22:15,00:00:00,0,00:00:00,"No",03:53:00,8,0,2020-07-17 07:41:00,42300
